         1    0.12500000E+03    0.72770000E+02    0.10780300E+03    0.11463900E+03    0.14451300E+01   -0.44072300E-02
         2    0.12500000E+03    0.65000000E+02    0.71525000E+02    0.11285000E+03    0.77911500E+00    0.40000000E-03
         3    0.12500000E+03    0.67070000E+02    0.73222000E+02    0.96730000E+02    0.00000000E+00    0.73800000E-02
         4    0.12500000E+03    0.73680000E+02    0.10011200E+03    0.14572800E+03    0.20860200E+01   -0.44072300E-02
         6    0.12500000E+03    0.72140000E+02    0.10954800E+03    0.15476100E+03    0.12566400E-01   -0.23400000E-02
         7    0.12500000E+03    0.76550000E+02    0.13456300E+03    0.17436700E+03    0.19477900E+01    0.44000000E-02
         8    0.12500000E+03    0.70910000E+02    0.14866400E+03    0.17589000E+03    0.43982300E+00    0.58000000E-02
         9    0.12500000E+03    0.56780000E+02    0.16622000E+03    0.17824000E+03    0.50265500E+00    0.33800000E-02
        23    0.12500000E+03    0.62690000E+02    0.16239700E+03    0.19082200E+03    0.26389400E+01    0.56000000E-02
        10    0.12500000E+03    0.76690000E+02    0.15457900E+03    0.16304500E+03    0.39207100E+01    0.96000000E-02
        11    0.12500000E+03    0.98880000E+02    0.15503700E+03    0.15543800E+03    0.11812400E+01   -0.62800000E-01
        12    0.12500000E+03    0.58310000E+02    0.17114800E+03    0.17296000E+03    0.54035400E+00    0.76200000E-02
        13    0.12500000E+03    0.99650000E+02    0.13848400E+03    0.18132100E+03    0.24630100E+01    0.53200000E-01
        14    0.12500000E+03    0.71030000E+02    0.16560400E+03    0.17597100E+03    0.33929200E+00    0.59600000E-02
        15    0.12500000E+03    0.71030000E+02    0.21765600E+03    0.21873800E+03    0.76654900E+00    0.21400000E-02
        16    0.12500000E+03    0.71330000E+02    0.20379600E+03    0.22909200E+03    0.10304400E+01   -0.12200000E-02
        18    0.12500000E+03    0.14700000E+03    0.19464700E+03    0.19740300E+03    0.38700000E+00   -0.18000000E-01
        19    0.12500000E+03    0.16580000E+03    0.19008200E+03    0.19599900E+03    0.27675000E+01   -0.40000000E-02
        20    0.12500000E+03    0.19180000E+03    0.19837600E+03    0.19972100E+03    0.15075000E+01    0.80000000E-02
        21    0.12500000E+03    0.57475000E+02    0.28803100E+03    0.29953600E+03    0.92991100E+00    0.19200000E-02
        22    0.12500000E+03    0.71420000E+02    0.24722400E+03    0.25838200E+03    0.10430100E+01   -0.32000000E-02
