mh;MH;MA;MC;la2;laL;la1;la3;la4;la5
0.12510000E+03;0.58025188E+03;0.81407443E+03;0.80766032E+03;0.52554100E+00;0.11730510E+01;0.25860946E+00;0.11604109E+02;-0.50436409E+01;-0.53874170E+01
0.12510000E+03;0.12547850E+03;0.16864761E+03;0.22524445E+03;0.25629160E+01;-0.63077900E+00;0.25860946E+00;0.52561624E+00;-0.94658029E+00;-0.20981495E+00
0.12510000E+03;0.65022152E+03;0.72789119E+03;0.77808012E+03;0.28770010E+01;-0.18571800E+00;0.25860946E+00;0.58497323E+01;-0.42667022E+01;-0.17687481E+01
0.12510000E+03;0.58961929E+03;0.68308222E+03;0.72855619E+03;0.21184700E+01;0.80967000E-01;0.25860946E+00;0.61336871E+01;-0.40871174E+01;-0.19656027E+01
0.12510000E+03;0.29930642E+03;0.57136327E+03;0.59280942E+03;0.12132010E+01;0.28914700E+00;0.25860946E+00;0.89426826E+01;-0.47393367E+01;-0.39141989E+01
0.12510000E+03;0.10357779E+03;0.28923583E+03;0.31778595E+03;0.32057550E+01;-0.20140000E+00;0.25860946E+00;0.27815980E+01;-0.17778785E+01;-0.12051195E+01
0.12510000E+03;0.53978725E+03;0.62709861E+03;0.60852727E+03;0.22056190E+01;0.10233630E+01;0.25860946E+00;0.36320997E+01;-0.92517546E+00;-0.16835612E+01
0.12510000E+03;0.22123411E+02;0.22582052E+03;0.21368629E+03;0.26405620E+01;0.51386900E+00;0.25860946E+00;0.20067762E+01;-0.65832686E+00;-0.83458029E+00
0.12510000E+03;0.68192599E+03;0.85219043E+03;0.88425085E+03;0.10253350E+01;0.59432600E+00;0.25860946E+00;0.11066813E+02;-0.61561827E+01;-0.43163043E+01
0.12510000E+03;0.60541780E+03;0.74747867E+03;0.73716920E+03;0.51872000E+00;0.93327500E+00;0.25860946E+00;0.67792568E+01;-0.26700671E+01;-0.31759147E+01
0.12510000E+03;0.26104332E+03;0.52364989E+03;0.54559752E+03;0.21720300E+01;0.70820700E+00;0.25860946E+00;0.82940700E+01;-0.41807206E+01;-0.34051423E+01
