        93    0.12500000E+03    0.70870537E+02    0.46870159E+03    0.46375278E+03    0.91555625E+01    0.20919896E-02
       678    0.12500000E+03    0.70112813E+02    0.20059307E+03    0.21332824E+03    0.45737895E-01    0.10615452E-01
      1692    0.12500000E+03    0.64099166E+02    0.25249574E+03    0.24755887E+03    0.23733379E+00    0.14328143E-01
      4183    0.12500000E+03    0.70691767E+02    0.34766396E+03    0.35791774E+03    0.42953894E+00    0.37514270E-02
      5933    0.12500000E+03    0.70913452E+02    0.58091225E+03    0.58337263E+03    0.82523692E-01    0.20790260E-02
      6976    0.12500000E+03    0.71502465E+02    0.16965321E+03    0.15246040E+03    0.30773660E+00    0.62701502E-02
      8694    0.12500000E+03    0.69490882E+03    0.70057136E+03    0.69773331E+03    0.13867175E-01    0.23461090E-02
      9530    0.12500000E+03    0.71318600E+02    0.34937838E+03    0.36424065E+03    0.56655678E+00    0.16166683E-02
      9643    0.12500000E+03    0.71346450E+02    0.12135910E+03    0.15881447E+03    0.41378282E+00    0.34790354E-02
     12251    0.12500000E+03    0.71285117E+02    0.13974966E+03    0.18563793E+03    0.72906442E-01    0.26916532E-02
     13277    0.12500000E+03    0.67152905E+02    0.13808258E+03    0.13830641E+03    0.15072237E-01    0.23809404E-01
     13884    0.12500000E+03    0.61762955E+03    0.61905116E+03    0.62162784E+03    0.15610274E+02    0.66134552E-02
     16019    0.12500000E+03    0.70260647E+02    0.52716288E+03    0.52530496E+03    0.30241578E+01    0.92003435E-02
     17413    0.12500000E+03    0.68490389E+02    0.17908757E+03    0.16991632E+03    0.12952052E-02    0.23047537E-01
     17712    0.12500000E+03    0.72662066E+03    0.73304634E+03    0.72939178E+03    0.65543219E+01    0.18743899E-01
     18729    0.12500000E+03    0.65121087E+02    0.20360068E+03    0.21672196E+03    0.81878190E-02    0.18903034E-01
     19204    0.12500000E+03    0.69940123E+02    0.39603165E+03    0.38977069E+03    0.24060350E+00    0.84666249E-02
     19725    0.12500000E+03    0.76833733E+03    0.76957459E+03    0.77464545E+03    0.59045808E+00    0.11555084E-02
     20683    0.12500000E+03    0.64122009E+02    0.26051872E+03    0.27738795E+03    0.14325781E-01    0.15912864E-01
     20786    0.12500000E+03    0.66231209E+02    0.20618713E+03    0.21480641E+03    0.29195021E+00    0.23185716E-01
