MA MC MH la2 la3 la4 la5 laL m22Squared 
445.143 444.571 385.27 2.27703 0.749284 -0.804776 -0.82159 -0.877082 -349943 
618.432 629.41 61.6648 4.01651 14.5526 -6.70984 -6.25712 1.58562 88350.5 
144.976 162.385 6.47299 2.06232 1.18632 -0.523463 -0.34662 0.316233 19053.4 
983.894 961.953 926.685 1.04391 2.71871 -0.395157 -1.8062 0.517352 -1.68618e+06 
453.525 444.754 401.428 2.77104 0.0586718 -0.475639 -0.736009 -1.15298 -392062 
509.205 520.622 387.629 3.50903 4.5287 -2.19028 -1.80173 0.536682 -268035 
257.596 244.941 195.355 2.62172 -0.0136327 -0.255676 -0.465868 -0.735176 -120817 
846.477 905.162 799.812 0.245964 6.41637 -4.66674 -1.26951 0.480125 -1.25034e+06 
466.673 486.774 391.604 0.769691 2.21065 -1.69809 -1.06467 -0.55211 -340119 
837.95 802.901 801.931 3.90919 1.0774 0.924581 -0.976066 1.02591 -1.2241e+06 
236.842 212.307 160.592 3.97798 2.22172 -0.136559 -0.500765 1.5844 44301.4 
473.168 476.015 130.557 1.19102 8.00791 -3.50727 -3.41799 1.08264 31426.7 
969.088 978.976 576.26 3.38844 22.2794 -10.668 -10.0313 1.58014 -568526 
676.827 714.037 568.035 4.44295 8.15504 -3.94837 -2.23793 1.96874 -526188 
699.75 724.643 631.828 4.16883 5.06731 -2.66638 -1.49453 0.9064 -743562 
46.8917 73.5633 9.39996 4.05297 0.211408 -0.141053 -0.0348745 0.035481 1970.45 
170.006 158.095 75.3993 1.42773 2.03114 -0.254497 -0.383651 1.39299 72928.4 
172.731 200.815 4.65962 2.82646 -0.0868817 -0.839371 -0.492669 -1.41892 -85910.9 
225.556 219.702 181.559 1.20766 -0.19762 -0.209843 -0.295985 -0.703448 -108497 
981.364 981.486 703.411 0.822251 16.4386 -7.74618 -7.73825 0.954137 -931834 
374.239 377.881 125.972 2.73783 2.83789 -2.14265 -2.05211 -1.35687 -113850 
357.37 354.18 316.008 1.65645 -0.432084 -0.385223 -0.460241 -1.27755 -277034 
700.857 712.07 428.819 0.78105 9.94038 -5.60186 -5.07824 -0.739719 -412536 
607.047 642.302 556.806 0.124439 2.90648 -2.42193 -0.966248 -0.481696 -649216 
813.833 820.554 467.092 4.42571 14.8115 -7.7024 -7.33937 -0.230223 -450283 
311.532 326.76 82.0846 1.63849 1.90106 -1.81364 -1.4924 -1.40498 -98499.4 
498.703 403.409 398.316 1.84078 -1.21675 1.35306 -1.48803 -1.35172 -399111 
466.951 490.774 275.46 1.62899 6.52661 -3.10327 -2.34922 1.07412 -86754.9 
507.288 518.941 12.6911 2.48704 8.05455 -4.64501 -4.24979 -0.840257 -51171.1 
511.509 536.617 323.078 1.19482 7.39231 -3.46843 -2.59869 1.32519 -128563 
777.581 784.213 769.28 3.44944 2.74721 -0.55449 -0.21217 1.98055 -1.06373e+06 
925.413 924.736 853.904 2.70523 2.85512 -2.06113 -2.10254 -1.30855 -1.53749e+06 
686.423 694.301 683.542 2.73091 -0.713382 -0.424708 -0.0652215 -1.20331 -1.00728e+06 
797.293 811.893 478.019 1.04451 15.0827 -7.50483 -6.72837 0.849505 -405595 
620.028 625.495 233.409 2.01469 11.5316 -5.67741 -5.45236 0.401868 -84640.6 
844.363 843.403 194.113 0.935476 21.8691 -11.105 -11.1585 -0.394426 -99228.9 
888.816 898.115 271.98 2.08708 24.5023 -12.3811 -11.8319 0.289245 -130442 
350.799 216.1 213.388 1.33001 1.53396 1.24258 -1.28108 1.49546 -569.319 
524.166 520.253 182.255 2.13383 9.21938 -3.85618 -3.99122 1.37198 16592.9 
948.13 955.349 412.146 4.12524 25.5918 -12.502 -12.0478 1.04206 -276667 
679.186 512.688 511.925 0.169228 1.58846 3.2663 -3.29213 1.56263 -429571 
600.703 617.452 539.24 2.44636 2.04376 -1.83209 -1.15778 -0.946114 -638815 
344.102 354.044 37.2183 0.599437 3.5062 -2.16311 -1.93371 -0.590622 -38512.5 
892.943 896.252 250.1 0.879173 25.7057 -12.3378 -12.1422 1.22569 -50926.9 
729.179 752.905 525.721 1.85473 9.04943 -5.38117 -4.21905 -0.550785 -586096 
