S	T
-0.0218683	0.0605164
-0.0129736	0.0686896
-0.000797159	-0.00417599
-0.00211181	-0.0164418
-0.0144531	0.0742601
0.000306021	-0.0166952
-0.00397004	0.0152849
-0.00132429	-0.00193522
-0.00862903	0.0825197
-0.00983712	0.0344183
-0.0127915	0.0639341
-0.0449081	0.0609066
-0.00159294	-0.00235378
-0.000556089	-0.0011162
-0.00609407	0.0666557
-0.00433814	0.0155072
-0.0125448	0.0702938
-0.0226748	0.0372026
-0.0204866	0.0219644
0.00342926	-0.0181078
0.00174482	-0.0110959
-0.0149565	0.0110794
-0.0118227	0.0131393
-0.0247841	0.0623883
0.000766243	-0.00964322
-0.0216956	0.0880927
-0.0152973	0.0305237
-0.00269151	-0.0162222
-0.0237997	0.0718479
-0.00402353	0.0102801
-0.00629155	0.0642619
-0.00939842	0.0792081
-0.0182354	-0.00806334
-0.019759	-0.00671577
0.00288407	-0.0108823
-0.0119414	0.0967833
-0.00713114	-0.00163354
-0.00487327	-0.0121673
-0.00347422	0.0160323
-0.00635399	-0.00588953
-0.0111773	0.0983138
-0.0149931	-0.0142878
-0.00532621	0.0627498
-0.00758193	0.0371715
0.00628931	-0.0158017
-0.0050088	0.0252637
-0.0106792	0.0670646
-0.00175993	-0.0132745
-0.000131847	-0.00843142
-0.010268	-0.0181182
-0.0168279	-0.00247292
-0.00558039	0.0709977
-0.0111634	0.0150157
-0.0221986	0.00400666
-0.00103565	-0.00239761
-0.00143415	0.00101503
-0.00246604	0.0150843
-0.0173862	0.0129901
-0.00118054	-0.0164904
-0.00675349	0.027151
-0.0152729	-0.000921769
-0.00215106	0.0119466
0.000623394	-0.0136219
0.000791632	-0.0157374
-0.00295403	-0.00227689
-0.022643	0.101652
-0.0206564	0.0208232
-0.00125758	-0.00239829
-0.013799	-0.00638995
0.00596495	-0.0103545
0.0146448	-0.0110703
-0.00708941	0.114618
-0.00287645	0.0266156
-0.0130432	0.0772334
-0.0148007	0.000373921
-0.0240117	0.0619718
-0.00214262	0.016597
-0.00590951	-0.0114785
-0.0278079	0.0604769
-0.0209662	0.0569479
0.00107226	-0.00747211
-0.00143267	0.00156798
-0.0148189	0.0607045
-0.00413009	0.0301942
-0.0201354	0.0618037
-0.000534232	-0.000431262
-0.0031576	-0.00501639
0.0255884	-0.00185872
-0.00644476	0.0131155
-0.0137001	0.00936893
-0.0259927	0.0787715
-0.00590524	0.011855
-0.0213361	0.0389316
-0.000734955	0.000747404
-0.0229487	0.0166469
0.00174183	-8.81088e-05
-0.0208847	0.0450316
-0.0106847	0.0420615
-0.00668362	0.0814327
0.0124086	-0.00367712
-0.00613168	0.041269
0.0021207	-0.011854
-0.00474636	0.0438057
-0.0223724	0.0565576
-0.0220843	-0.00983048
-0.00320104	0.0452298
-0.0109533	0.0371222
-0.0100298	-0.00280567
-0.00258057	-0.0121622
-0.0168688	0.0154135
-0.00348745	0.0277755
-0.0142969	0.0329334
-0.00776325	0.0932492
-0.00518483	0.104147
-0.0151658	0.0109988
-0.00788519	0.0817448
-0.00432322	0.0661312
-0.0199236	0.00485456
-0.0174702	0.0034334
-0.0215025	-0.0238927
-0.00315721	-0.0229363
-0.0209355	-0.0160633
-0.0106981	0.0709379
-0.00406705	-0.0163405
0.00539433	-0.0171066
-0.00417082	0.0195539
-0.000882249	0.00253968
0.00229769	-0.0114242
-0.00525724	0.0292993
-0.0197718	0.0868487
-0.00162188	-0.000605728
-0.0154179	0.0532104
-0.0234576	0.0552584
-0.00569004	0.0457586
-0.00414275	0.0361124
-0.0199188	0.0711133
-0.00489585	0.0485855
-0.00109928	-0.011685
-0.000947953	-0.0111466
-0.00564104	0.0179276
-0.00549732	-0.0168869
-0.00399834	0.0223516
-0.00453208	0.0867622
-0.0199567	-0.0298064
-0.00780628	0.0922986
-0.0222651	0.0114068
-0.00352898	-0.00878527
-0.0202713	0.0308365
-0.00941231	-0.0261761
-0.0159716	0.103621
-0.00238687	-0.00383239
0.00249928	-0.0148786
-0.0129713	0.0552211
-0.0233822	0.0636795
-0.0140323	0.0983515
-0.00573316	0.037781
-0.00709534	0.0554163
-0.00328998	0.00216435
-0.0181929	0.0241669
-0.00636658	-0.0115148
-0.0118458	0.0483428
0.000969441	-7.52534e-05
-0.0193631	0.0448293
-0.0130618	0.0617044
-0.0234447	0.0183634
0.0128785	-0.010988
-0.0239335	0.0330515
-0.00657933	0.0632992
-0.0175218	0.00783616
-0.0217674	-0.00776187
-0.00557115	0.0434003
-0.0124458	0.025982
-0.0124537	0.064682
-0.00347052	0.0433594
-0.0225915	0.0391362
-0.0154578	0.0945173
-0.00735025	0.0370356
-0.0192437	0.0648747
-0.00999787	0.00211419
-0.00406616	0.0493028
-0.015682	0.0184216
-0.0106238	0.0942516
-0.00337484	0.0185958
0.00357758	-0.0127175
