MA MC MH la2 la3 la4 la5 laL m22Squared 
902.917 588.138 588.018 -412.501 -44.7319 7.75354 -7.75819 -44.7365 -3.39881e+06 
832.754 842.653 778.1 472.388 -223.931 -2.00295 -1.4548 -227.389 -1.49716e+07 
235.224 380.818 349.579 221.202 -339.063 -1.85917 1.10509 -339.817 -2.08088e+07 
409.545 522.556 478.073 399.986 -176.245 -2.47618 1.00513 -177.716 -1.12118e+07 
671.038 783.246 777.612 -268.836 -211.734 -2.84183 2.55119 -212.025 -1.40403e+07 
980.532 795.858 796.317 33.4683 20.0503 5.433 -5.40885 20.0744 -53416.8 
173.735 184.766 205.149 171.844 278.623 0.0659841 0.196681 278.885 1.67928e+07 
595.574 405.671 408.697 -188.592 433.175 3.18268 -3.10125 433.256 2.58849e+07 
590.633 422.801 466.349 -134.697 -349.265 3.45043 -2.17077 -347.985 -2.14936e+07 
556.657 499.352 626.174 269.134 74.4226 3.35872 1.35877 79.1401 4.00506e+06 
348.869 472.867 455.549 1.28417 -68.5983 -1.94945 1.41806 -69.1297 -4.5985e+06 
598.143 565.686 727.206 -40.7085 -110.212 4.07498 2.82657 -103.311 -7.30961e+06 
70.0218 38.3674 444.013 96.0481 22.7528 3.29014 3.17675 29.2197 1.37396e+06 
639.628 783.609 762.276 368.442 -464.857 -3.93113 2.84124 -465.947 -2.93594e+07 
262.897 468.133 470.434 -422.697 -426.087 -2.44353 2.51493 -426.016 -2.62234e+07 
393.303 443.99 429.515 6.31135 282.804 -0.910225 0.492366 282.386 1.67199e+07 
719.055 839.985 839.195 37.796 -441.736 -3.13735 3.09353 -441.78 -2.81432e+07 
197.026 255.055 269.405 -73.1516 -100.336 -0.309149 0.557861 -100.087 -6.20201e+06 
125.158 180.882 172.676 -7.56002 4.67257 -0.329745 0.233863 4.57669 217329 
687.156 781.852 732.535 338.75 -136.5 -3.53287 1.06457 -138.969 -9.48304e+06 
256.152 286.589 219.977 -44.0202 160.973 -0.830572 -0.284624 159.857 9.57715e+06 
436.574 421.235 570.412 -436.124 -229.799 2.66193 2.22707 -224.91 -1.42614e+07 
430.771 388.29 412.299 237.682 -296.839 0.892594 -0.257342 -296.204 -1.82651e+07 
577.739 76.8696 85.1056 -21.1363 206.296 5.44 -5.39591 206.34 1.24724e+07 
87.9941 28.106 148.106 -156.503 -7.79811 0.464314 0.234523 -7.09927 -473490 
846.023 834.432 960.235 322.118 -239.525 4.05272 3.40896 -232.063 -1.58877e+07 
206.995 344.474 347.314 251.97 442.245 -1.22034 1.28528 442.309 2.65255e+07 
490.742 417.196 418.888 199.896 -67.2876 1.12679 -1.08006 -67.2409 -4.42008e+06 
323.185 297.461 477.942 327.229 190.02 2.57636 2.04872 194.645 1.13223e+07 
95.2331 22.1705 134.242 70.4196 -178.671 0.431409 0.14792 -178.092 -1.08134e+07 
196.109 166.804 263.072 -485.626 161.29 0.859584 0.508101 162.658 9.705e+06 
507.186 180.709 184.437 148.696 -436.402 3.73361 -3.68863 -436.357 -2.64746e+07 
531.777 482.655 625.323 159.456 485.262 3.4355 1.78864 490.486 2.89002e+07 
385.759 491.276 490.528 -181.567 491.857 -1.54134 1.51708 491.833 2.92825e+07 
215.45 293 225.496 -78.7695 376.326 -1.22994 0.0732026 375.17 2.26021e+07 
582.109 471.535 488.886 -437.799 89.8786 2.2006 -1.64984 90.4293 4.9944e+06 
959.951 959.486 195.378 -366.51 -446.339 -14.5672 -14.5967 -475.503 -2.88519e+07 
164.517 783.074 781.853 -68.1355 -265.627 -9.71728 9.6541 -265.691 -1.73011e+07 
212.783 419.246 401.034 26.2588 88.7143 -2.40316 1.90944 88.2206 5.0171e+06 
251.678 248.977 858.4 208.692 403.436 11.1741 11.1294 425.74 2.42904e+07 
531.663 508.718 711.361 -395.827 227.062 4.48 3.69107 235.233 1.32233e+07 
399.802 296.79 354.641 302.283 260.406 1.8085 -0.563016 261.651 1.55825e+07 
547.394 582.807 497.4 -139.902 176.812 -2.1859 -0.863146 173.763 1.00207e+07 
472.163 463.919 437.62 115.427 -321.491 -0.264269 -0.519314 -322.274 -1.98858e+07 
250.797 178.027 203.027 200.743 194.856 0.673076 -0.358235 195.171 1.17285e+07 
