MA		MC		MH		la2		la3		la4		la5		laL		m22Squared		
315.283		187.373		197.388		472.552		321.516		1.12612		-0.998767		321.643		1.93866e+07		
596.393		926.688		907.523		381.176		448.718		-8.8938		7.73207		447.557		2.54371e+07		
624.745		737.995		713.577		-157.659		129.929		-3.13596		1.96452		128.757		6.77349e+06		
755.689		887.253		871.537		-475.065		409.421		-4.0286		3.11505		408.507		2.32021e+07		
500.636		454.607		445.882		-269.163		-217.759		0.596739		-0.856404		-218.019		-1.35913e+07		
783.276		752.52		748.143		-227.622		427.658		0.672016		-0.889082		427.441		2.47476e+07		
866.678		750.533		810.702		419.549		-379.447		4.65607		-1.55153		-376.342		-2.40892e+07		
645.187		858.862		843.973		318.537		-37.1619		-5.72957		4.89167		-37.9998		-3.72417e+06		
296.333		280.007		354.768		-287.654		68.8826		0.93968		0.628718		70.451		4.01169e+06		
790.547		750.396		754.565		-367.79		206.034		1.12604		-0.918699		206.242		1.13422e+07		
98.6287		240.71		240.297		-87.459		-87.4344		-0.799987		0.793427		-87.4409		-5.40706e+06		
90.3628		75.9471		175.174		-231.426		-445.963		0.451373		0.372139		-445.139		-2.69994e+07		
621.82		629.583		379.178		314.095		-477.696		-4.33464		-4.01355		-486.044		-2.9701e+07		
943.205		797.441		826.17		242.194		-257.712		4.96348		-3.42189		-256.171		-1.68675e+07		
429.273		396.773		539.925		-2.59674		37.7467		2.65939		1.77215		42.1782		1.96942e+06		
343.122		266.905		337.447		169.449		327.104		1.47278		-0.0638228		328.513		1.96525e+07		
589.927		559.853		626.788		-154.314		-179.153		1.88389		0.741126		-176.528		-1.14685e+07		
844.511		775.548		829.125		-103.048		-243.006		3.26685		-0.425526		-240.165		-1.59087e+07		
911.19		865.446		845.211		-417.811		-154.717		0.770929		-1.91498		-155.861		-1.08609e+07		
621.074		255.31		269.716		-480.587		-245.064		5.42191		-5.17195		-244.814		-1.49606e+07		
216.414		457.891		463.229		252.822		141.403		-2.60943		2.77193		141.566		8.13784e+06		
291.148		402.786		359.794		-303.946		205.993		-1.8219		0.73839		204.909		1.21414e+07		
109.12		78.5303		491.932		-286.114		49.1509		3.99185		3.80214		56.9449		2.96208e+06		
454.249		440.301		666.883		-469.477		475.868		4.35166		3.93931		484.159		2.84099e+07		
865.68		760.741		827.45		-476.863		-77.684		4.57107		-1.06959		-74.1825		-5.85857e+06		
494.943		517.006		467.475		-318.858		-231.932		-1.17471		-0.436846		-233.544		-1.45702e+07		
329.717		516.773		518.614		395.213		366.247		-2.58501		2.64801		366.31		2.16297e+07		
715.445		729.87		725.006		93.7437		492.495		-0.461476		0.227594		492.261		2.87384e+07		
276.16		336.614		237.136		347.968		6.45935		-1.5553		-0.331005		4.57304		164275		
855.061		885.415		810.106		0.368052		13.4846		-2.98297		-1.23701		9.26465		-751883		
471.159		463.822		353.627		-143.845		-395.188		-1.37514		-1.60187		-398.165		-2.43455e+07		
196.857		275.483		257.487		-195.707		12.0661		-0.772181		0.455203		11.7491		578410		
119.42		296.384		276.604		-66.3805		-194.769		-1.40319		1.02863		-195.143		-1.19623e+07		
411.641		173.959		205.473		-142.727		-18.5811		2.49758		-2.1024		-18.186		-1.18498e+06		
593.58		630.761		605.682		-184.762		491.552		-1.26463		0.239826		490.527		2.89511e+07		
763.135		889.026		878.273		353.43		253.449		-3.75096		3.12295		252.821		1.3757e+07		
704.395		834.176		814.814		18.624		-495.571		-3.82719		2.772		-496.626		-3.13817e+07		
437.306		490.791		415.952		-226.923		-421.444		-1.94161		-0.301088		-423.687		-2.59859e+07		
381.504		371.689		304.99		273.821		91.5929		-0.623664		-0.867974		90.1012		5.26653e+06		
879.152		882.128		968.204		111.294		363.747		2.54523		2.71845		369.011		2.04562e+07		
488.744		495.921		601.776		469.554		-303.353		1.80329		2.03687		-299.513		-1.88496e+07		
463.525		371.463		424.945		58.4472		-133.318		1.97409		-0.56642		-131.91		-8.34383e+06		
769.484		805.216		736.183		-389.402		405.715		-2.6881		-0.828528		402.199		2.32555e+07		
808.941		778.948		953.265		-130.14		-110.256		5.77663		4.20267		-100.277		-7.88579e+06		
