S	T
0.0105817	0.0942077
-0.0148032	0.0151327
-0.00956687	0.0342686
0.0104528	0.00304344
0.146267	0.115222
0.00557772	0.0785344
-0.00136904	-0.0161663
0.0169693	0.118109
0.0135694	-0.000203843
-0.0246524	0.0689635
0.0291503	0.116931
0.00460408	0.00403899
0.0837167	0.154972
0.0868844	0.0580087
0.00622361	0.0794736
-0.00972494	0.0187158
-0.0130693	0.0592671
-0.00959801	0.112779
0.00845493	0.100621
-0.0140118	-0.0239967
-0.0131183	0.0148379
-0.00603106	0.00333936
0.0187105	-0.00347573
-0.00136528	0.00449004
-0.015783	0.0640585
-0.0203881	0.045492
-0.0166934	-0.00581228
0.000575682	-0.00929162
-0.0165585	0.0605069
-0.0192555	0.0432155
-0.0134833	0.0262368
0.0101148	0.111996
-0.0167441	0.0682733
-0.00432054	0.0113596
-0.00448474	0.07668
0.0843631	0.163459
0.0159819	0.0714326
-0.00583542	0.0110315
0.0376412	0.030761
0.00209797	-0.00188122
-0.0128606	0.0964206
0.000717011	-0.0167401
-0.00641109	0.0174793
-0.00833196	0.00399733
-0.0226779	0.060063
0.00936548	0.0828049
0.0475828	0.100227
-0.022903	0.0723167
-0.00926151	0.0658693
0.106462	0.0745523
-0.0083251	-0.0130943
0.0152083	0.117329
-0.00150129	0.00258946
0.0532069	0.0361369
0.00242073	0.0121266
-0.014098	-0.0215796
0.00618998	-0.013483
-0.0204109	-0.0275045
0.069386	0.11505
0.0125387	0.0353884
0.0160831	0.013011
-0.0126688	0.0250835
0.0177603	0.0913767
0.000706806	-0.0129015
0.00329988	0.0260168
-0.00403439	0.00641923
-0.021079	0.0907948
-0.0107662	-0.0154884
-0.0207575	0.0939429
-0.00184799	-0.0218679
-0.00236417	-0.0074555
0.0194418	0.0397925
0.0169482	0.0221653
-0.0104511	0.110639
-0.00518529	0.0490133
-0.00455745	0.0366432
0.00205689	-0.00712301
0.00088127	-0.00239003
0.00586676	0.123973
-0.00734006	0.0561085
0.00783262	0.0215852
0.00150427	0.00297165
-0.0167108	0.000981552
0.0287637	0.0239277
-0.0113438	0.033797
0.00553963	0.0742089
0.0106809	0.0820466
0.0126051	0.0951969
0.00434251	0.035723
0.00399306	0.065593
0.000761444	-0.01643
0.0317676	0.0859992
-0.0139534	-0.0218756
-0.011378	0.0847409
0.0761039	0.163089
0.0132802	0.0551846
0.00563722	0.124224
-0.00391301	0.019396
-0.00983466	-0.00600655
-0.000759586	0.00124608
-0.0146911	0.10622
-0.00329225	0.0405761
-0.00607081	-0.014252
-0.01046	0.0249374
-0.0195246	0.0588841
0.0317281	0.124629
-0.00276092	0.0165561
-0.00420466	0.02399
-0.00493143	0.0445256
-0.0075708	0.0709979
-0.00425931	-0.0115728
0.0024447	-0.00454462
0.00510253	-0.0134339
0.00936273	0.087235
-0.00360958	0.0437869
0.00660537	0.0925457
0.0342592	0.103148
0.0338729	0.111004
0.00553514	0.0244282
0.015697	0.0849799
0.0125848	0.107765
0.00411659	-0.00415775
-0.00502169	0.08144
-0.00547885	0.0694684
0.00446281	0.0498429
0.00978752	-0.00378477
-0.00616981	-0.0192826
-0.00372185	0.0368235
-0.0107468	0.0999984
0.0293223	0.0263049
0.070016	0.0363622
-0.000695269	-0.00498796
-0.0054313	-0.0068481
0.0198523	0.0259843
0.0163767	0.0362642
-0.0197802	0.0622891
0.0243849	0.120535
0.088078	0.0826164
-0.0070572	0.0277203
0.00898827	0.0114649
0.0165601	0.0041632
0.05817	0.0253766
0.109167	0.174666
-0.00988566	0.0573072
0.00596592	0.013471
-0.0184296	0.0950098
-0.00234662	-0.0186592
0.0116621	0.0731405
-0.0154517	0.103882
0.0414832	0.13345
-0.0174899	0.0586829
-0.00661668	0.0364841
0.0206042	0.112606
0.183748	0.165488
-0.0140172	-0.0129983
-0.0104603	0.0458014
-0.00309914	-0.00138545
0.00983749	0.0204247
-0.0165682	0.0465313
-0.00140877	-0.012147
-0.00122935	0.000246357
0.0180502	0.115244
0.0571975	0.152908
-0.0109137	-0.0149686
0.0391247	0.0743475
0.0158622	0.042254
-0.00316623	0.0250543
-0.00347504	0.0199769
0.00121019	-0.010609
-0.0319372	0.011349
-0.00734815	0.0026159
0.0021325	0.00281386
-0.00575783	0.114641
-0.0253497	0.0967283
-0.0100722	0.00242657
0.0192951	0.126168
0.00362422	0.0272739
-0.0136182	-0.00451185
-0.0137887	0.0848169
0.0292688	0.13462
-0.00641695	-0.00071604
-0.00963468	0.110095
0.00422935	0.0015434
-0.0153443	0.0462107
-0.00877785	0.0988361
0.00387739	0.0499361
-0.0094281	0.00752653
0.000671187	-0.00498854
-0.00285411	0.0427776
0.0155586	0.117548
0.00832321	0.00473413
0.00178237	-0.00379049
0.00589692	0.0336842
-0.0246127	0.074161
0.00315794	0.00785401
0.0519088	0.0673256
-0.0161159	0.0398843
0.0451622	0.0312934
0.0446212	0.0557863
0.0142608	0.0943539
0.0215148	0.101578
-0.00741591	-0.0243688
-0.0214447	0.0726457
0.00199147	0.00629812
0.0448865	0.0653257
-0.0072103	0.0682066
0.0152317	-0.0073684
-0.0170328	-0.0198505
-0.0194597	0.0848357
0.00100363	-0.00471595
0.00399427	0.0493995
-0.00118052	-0.00565662
-0.00537114	-0.0159261
-0.0291076	0.0966295
0.0147276	0.0340319
-0.0114109	0.0711189
-0.00789996	0.0884811
-0.00569894	0.108409
-0.00448678	-0.00204943
0.056616	0.150939
-0.00550235	0.0370218
0.0209712	0.0122496
0.0385183	0.0944702
-0.00137966	-0.000685973
-0.0135772	0.066884
-0.0185061	-0.0285297
-0.0060495	-0.0175876
0.0284761	0.122986
-0.00072966	0.00118307
-0.00693615	0.0298972
-0.00228397	0.0169301
0.00302028	0.0392056
0.0143143	0.1241
-0.000365245	-0.0126025
0.00622996	0.0439525
-0.00686473	0.0458093
-0.00702902	0.103635
-0.018226	0.0573575
0.0345736	0.0669956
-0.00258457	0.017743
-0.00240629	-0.0154215
0.116537	0.0775059
-0.00915207	0.101528
-0.0125288	0.00320527
0.0161514	0.0149831
-0.0130582	0.0763055
-0.0170783	0.0523558
0.00289112	-0.00941801
-0.00563586	0.036222
0.0353976	0.130288
-0.00717692	0.00420258
-0.0111225	0.0180481
0.0841563	0.114697
0.0692171	0.0368339
-0.0251044	0.0327859
-0.00791516	0.0897993
-0.00497274	0.115929
-0.0221743	-0.00758665
0.0247872	0.0357494
-0.00927214	0.0709845
-0.00802992	-0.00266619
0.00389936	0.0282498
0.0108353	0.0225385
-0.0080486	-0.0021401
0.00149826	-0.0124078
-0.00114938	-0.0182493
0.0573558	0.0225981
-0.019485	0.0806523
-0.0211784	0.0543494
0.0496184	0.0948682
0.00280682	-0.0113333
0.00568717	-0.00646743
-0.00283953	0.00834218
0.133703	0.11507
-4.38084e-05	-0.00503035
0.00342112	0.0479535
0.0199022	0.134215
0.00827226	0.0248656
-0.011455	0.042801
-0.0197758	0.0367479
0.0507836	0.0610744
-0.00766452	0.0154254
0.0362298	0.0697677
-0.00288377	0.0229273
0.00475402	0.0248546
0.0147764	0.125028
0.025331	0.0619132
-0.0147158	-0.0236863
0.00199918	0.00911783
-0.00818134	0.0927413
-0.0215851	0.0560687
-0.009662	0.0863853
0.00914352	-0.0134115
0.0412056	0.153725
0.00458112	-0.010309
-0.0154453	0.0942117
-0.0187339	0.0774406
-0.0128498	0.0343427
0.0682504	0.0418177
0.00568146	0.0631382
0.0117777	-0.00487967
-0.0161506	0.0469887
-0.00735689	0.110822
-0.00363189	0.0469918
-0.0127875	-0.0196527
0.00544244	0.0880634
-0.0155981	0.104571
-0.0136406	-0.00883776
0.012552	0.116112
-0.00461177	0.0126174
-0.0124824	-0.00645105
0.0576909	0.0630163
0.00077711	6.95216e-05
-0.0185773	0.0788365
-0.00377391	0.0266369
0.00060965	0.00344343
-0.00783063	0.0365364
-0.0114566	-0.0256022
-0.00978325	0.00428822
-0.0108385	0.0530627
0.00641269	0.0202069
0.0116143	0.0216962
0.0018525	0.0080928
-0.0173556	-0.000984732
-0.0179687	0.0498955
-0.00198205	-0.00357618
0.0140989	0.101662
-0.00278902	-0.00883405
0.00228213	0.00499696
0.00537691	0.078296
0.0646504	0.137251
0.0129823	0.0995427
0.010352	0.0368344
0.00419717	0.0829748
0.0124511	0.0785718
0.0301574	0.0470156
0.00770112	0.0178154
-0.00478929	0.0503259
-0.0112499	0.0759115
-0.0100234	-0.0114612
0.0289883	0.0106219
0.0308515	0.0829124
-0.0210635	0.0548839
0.051866	0.159718
0.0122451	0.000834219
-0.0127299	0.0196231
-0.000913284	0.00348646
0.0167954	0.0830907
-0.0180659	-0.0130447
-0.00450106	0.00796914
-0.0071966	0.0185581
-0.000201442	-0.00787293
0.00745881	0.0101915
0.00859022	0.0413126
-0.0181834	0.0853956
-0.00212791	0.00510853
0.0132193	0.0109548
-0.00128728	0.00293193
0.0294171	0.0414776
-0.0018808	-0.0134169
-0.00861447	0.0116688
-0.0193974	0.0182347
0.000129738	-0.00684501
-0.0146297	0.0998325
0.0106879	0.0937222
-0.00528151	0.0323345
-0.0187541	-0.0192518
0.067562	0.141628
0.00385057	0.0289462
0.0118791	0.122841
0.00911597	0.00279809
-0.00984278	0.0727127
0.0152767	0.00867642
0.0706258	0.159399
-0.0212818	0.069068
0.00319632	0.0109687
-0.0048351	-0.00383872
0.004301	-0.00393591
-0.000404913	-0.00383143
0.0126806	-0.00891193
0.00653483	0.0177768
-0.0784753	0.0445099
-0.0191544	0.0357095
-0.00513161	0.0549747
-0.0216713	-0.0132418
0.0787745	0.161403
-0.00483216	0.0664771
-0.01093	0.062995
0.00436586	0.00658085
0.0304451	0.135514
0.0166549	0.0688674
0.0111951	0.0948608
0.00131832	0.00144347
0.00366868	0.0588818
-0.00349536	-0.000658285
0.00208556	0.0144422
0.0539736	0.0242345
-0.0130243	0.00842422
-0.0157531	0.0549413
0.0901343	0.10723
-0.00726531	0.0246051
0.0184524	0.0641872
-0.00262661	0.00634414
0.0333376	0.0460371
-0.0241969	0.0884869
-0.0213107	-0.0282141
0.00389378	-0.0170765
-0.00688486	1.72921e-05
-0.00864675	0.0758072
-0.0208127	0.0308495
0.0612322	0.1033
-0.0305424	0.00518207
-0.00261184	0.0271548
-0.0162636	-0.0300796
-0.00640835	0.0610038
-0.00240854	0.00730376
0.00785706	0.124103
0.0323223	0.119944
-0.00270101	0.00109334
0.00785047	0.0702136
0.00539208	0.0151928
-0.000775146	0.000151265
-0.0131567	0.098613
-0.00498987	0.0750268
0.0192834	0.0898608
-0.0206988	0.056871
0.00642346	0.0357596
-0.00961541	0.0737647
0.0194009	0.120151
0.0181029	0.0551942
0.0658394	0.0452351
-0.0145633	0.00657046
0.00875528	0.0286161
-0.0146163	0.107348
0.0286137	0.0167684
-0.00205251	0.0163422
-0.0107405	0.0650782
0.0968159	0.087173
-0.022232	-0.000302427
0.00916843	0.0434231
0.001183	-0.00209837
0.00214709	0.0193092
0.000262227	0.000101118
-0.0201948	0.0287845
0.0700148	0.082142
0.00236641	0.00557641
-0.000333931	-0.0135205
0.0012969	-0.0186742
0.0477494	0.0581344
0.014525	0.0235199
0.0103102	0.0560883
-0.00743834	0.0177351
-0.0279555	0.0899801
-0.00237748	0.0157455
-0.0140205	0.0435117
0.00364146	0.0600741
0.123949	0.0901677
-0.0114562	0.0693841
0.00129909	-0.00685943
-0.00311473	0.036268
-0.0222736	0.0952899
-0.00503664	0.00658583
-0.0074186	0.0102367
0.0921988	0.046063
0.027857	0.0875701
-0.00529147	0.0355658
0.0658982	0.114383
-0.00163449	-0.00507985
-0.00849626	0.0196628
0.0381992	0.042656
0.118536	0.134099
-0.00614229	-0.00570538
-0.0109389	0.00299817
0.00168655	-0.0177157
-0.00533641	0.0218834
0.0776064	0.0360233
-0.00651771	0.0574361
-0.0654028	0.0192974
-0.00863098	0.0127321
0.00205905	0.000325224
-0.0102417	0.0927152
0.00650262	0.0310601
0.0082095	0.0680049
0.0159276	0.0206057
0.00455345	-0.00034928
0.00360175	0.0419701
0.00187066	-0.00373332
0.00864713	0.0633056
0.0242411	0.110241
0.0193245	0.0793247
0.0447936	0.10228
0.0134367	-0.00555182
-0.00197819	0.00798098
-0.00874715	0.00981077
0.00865123	0.0321545
-0.00231359	0.0086385
0.00381091	-0.00869686
0.0109094	0.110124
0.0276792	0.111428
-0.0211458	0.0479609
0.0281748	0.0123341
0.019022	0.0918209
-0.0018272	-3.6112e-06
-0.0202043	0.0483297
-0.00622551	0.0342029
-0.0160053	-0.0142081
-0.00441906	0.0133488
0.0670355	0.0697294
-0.0181862	0.0171993
-0.00977775	0.046068
0.0886426	0.0883943
-0.00546611	0.0584816
-0.0104956	-0.0249304
-0.00732989	0.0335146
0.104893	0.105744
-0.0211689	0.0224205
-0.0215041	-0.00483451
-0.00432937	0.0500376
0.00488282	0.00748632
-0.00658958	0.0156171
-0.00206131	-0.00862935
-0.0155581	0.0661387
-0.0075448	0.102907
-0.00467533	0.0122868
0.00544158	0.0622303
-0.0156251	-0.016036
-0.00798057	0.0537271
-0.00401809	0.0734328
0.0334472	0.0149167
0.0088931	0.063769
0.00942533	0.0318956
-0.0167543	-0.0309903
0.0771626	0.148692
-0.0182801	0.0840725
0.0503177	0.134913
