# Good Relic Density Points
1000 1.25100000000E+02 7.16536782710E+01 1.29217553510E+02 1.58060534210E+02 3.85377733290E+00 1.23530781800E-01 1.18000000000E-01
1001 1.25100000000E+02 4.89443770160E+01 3.46134462730E+02 3.52996962160E+02 3.81708011040E+00 -1.29582327040E-01 1.21000000000E-01
1002 1.25100000000E+02 5.54634323420E+01 1.21076881490E+02 9.15774148940E+01 2.03775726100E+00 -4.96893352880E-03 1.20000000000E-01
363 1.25100000000E+02 4.15700519120E+01 2.00025035420E+02 2.05565808150E+02 1.79519265660E-01 -2.02470333480E-01 1.20000000000E-01
770 1.25100000000E+02 9.68275157710E+02 9.78171493540E+02 9.77416946800E+02 2.84630790970E+00 -4.47756473410E-01 1.19000000000E-01
1563 1.25100000000E+02 3.11695331210E+01 3.52240722690E+02 3.59543788790E+02 3.45287176760E+00 2.75320989980E-01 1.20000000000E-01
2495 1.25100000000E+02 9.81144698050E+02 9.86601502650E+02 9.89696957830E+02 3.46095706520E+00 -5.92663126650E-01 1.20000000000E-01
13 1.25100000000E+02 2.18443083550E+01 2.77975917850E+02 2.81220324540E+02 2.15551826890E+00 3.21263168330E-01 1.19000000000E-01
286 1.25100000000E+02 8.90205393170E+00 2.64719440770E+02 2.84648845710E+02 5.59960168130E-01 -3.79767396970E-01 1.19000000000E-01
4325 1.25100000000E+02 7.33122878580E+01 1.59568770980E+02 1.67140244910E+02 3.66616529080E+00 -1.56586574140E-01 1.18000000000E-01
6996 1.25100000000E+02 8.76694911790E+01 2.84942521750E+02 2.90771079060E+02 2.97394470920E+00 -2.37784437960E-01 1.19000000000E-01
885 1.25100000000E+02 7.53601157420E+02 7.54907342830E+02 7.61257332490E+02 3.75901180180E+00 -2.55155554940E-01 1.18000000000E-01
8364 1.25100000000E+02 5.04396378430E+01 4.15945525830E+02 4.27074729840E+02 3.49304834280E+00 9.87834474260E-02 1.21000000000E-01
9650 1.25100000000E+02 6.95165390630E+01 8.87064364930E+01 1.42095286220E+02 3.58177543340E+00 -1.01477912240E-01 1.18000000000E-01
2131 1.25100000000E+02 1.11948664250E+01 2.38569929600E+02 2.34297312620E+02 3.73043740190E+00 -3.59086413230E-01 1.19000000000E-01
5928 1.25100000000E+02 8.48603238770E+02 8.59033064420E+02 8.54783081660E+02 2.69876634380E+00 -3.22864813130E-01 1.20000000000E-01

# Points Above limit

174 1.25100000000E+02 7.35839477900E+02 7.39202727540E+02 7.36300359250E+02 3.35085497950E+00 6.56548464050E-02 1.68000000000E-01
701 1.25100000000E+02 7.91166662260E+02 7.94695896630E+02 7.95165781360E+02 3.68526723560E+00 -4.08756709400E-01 1.23000000000E-01
1944 1.25100000000E+02 9.72465953630E+02 9.73943279890E+02 9.73193251450E+02 2.27262701710E+00 -3.13023144830E-01 2.17000000000E-01
2888 1.25100000000E+02 9.55833032280E+02 9.58087798090E+02 9.62498817020E+02 3.74229859560E+00 -4.74331099660E-01 1.42000000000E-01
3978 1.25100000000E+02 8.61146544140E+02 8.64906672160E+02 8.64802513350E+02 1.71184362170E+00 -4.31702093640E-01 1.40000000000E-01
