BP mh MH MA MC la2 laL Omega
0 1.25100000000E+02 4.97125448470E+02 5.25477931880E+02 5.91578000590E+02 1.02477754310E+00 -3.74156487400E-02 9.22000000000E-04
1 1.25100000000E+02 2.24996204940E+02 3.46398514650E+02 3.56894949160E+02 7.84906244950E-01 1.63917840250E+00 9.62000000000E-05
2 1.25100000000E+02 3.39583880810E+02 6.40477427530E+02 6.53779521680E+02 3.07747775240E+00 9.45977957180E-01 8.29000000000E-05
3 1.25100000000E+02 4.99526793250E+02 5.27653632060E+02 5.51608452480E+02 2.28835090990E+00 -6.93158802090E-01 4.97000000000E-03
4 1.25100000000E+02 1.44997638020E+02 3.22205649910E+02 3.42173146350E+02 3.14123591560E+00 8.77830656340E-01 1.15000000000E-04
5 1.25100000000E+02 1.76924836120E+02 3.14033809680E+02 3.24822367750E+02 3.93948641080E-01 9.35161694160E-01 1.49000000000E-04
6 1.25100000000E+02 1.96171737250E+02 2.25954468370E+02 2.87923757580E+02 3.08953690040E+00 -5.13778832180E-01 1.21000000000E-03
7 1.25100000000E+02 3.19576517790E+02 5.44966704710E+02 5.53237143700E+02 1.40186981490E-01 1.25980069180E+00 9.58000000000E-05
8 1.25100000000E+02 4.20055517030E+02 4.34067353470E+02 5.02643191490E+02 3.84999742680E+00 -3.05411801420E-01 1.81000000000E-03
9 1.25100000000E+02 7.23511650410E+02 9.46480782870E+02 9.47271855150E+02 3.38845508180E+00 -2.49761962570E-01 1.30000000000E-04
10 1.25100000000E+02 3.43952287710E+02 5.79868906700E+02 5.89127890480E+02 1.67950236970E-01 2.48344959090E-01 1.43000000000E-04
11 1.25100000000E+02 6.42229052730E+02 6.45759127150E+02 7.18155506590E+02 7.91318316950E-01 1.39257788620E+00 9.46000000000E-04
12 1.25100000000E+02 3.12774869450E+02 4.76894581190E+02 5.00500325320E+02 3.70378590690E+00 -3.77461142920E-01 3.31000000000E-04
13 1.25100000000E+02 5.16448592380E+02 6.71984737890E+02 6.93008434280E+02 1.34581443070E+00 1.19139995870E-01 2.06000000000E-04
14 1.25100000000E+02 7.28066762970E+02 8.93174677420E+02 9.00050207820E+02 4.82077395790E-04 1.74014028770E+00 1.26000000000E-04
15 1.25100000000E+02 8.31095134880E+02 9.75925970320E+02 9.78835976470E+02 1.59380357870E+00 7.97423711490E-01 1.98000000000E-04
16 1.25100000000E+02 4.32178125530E+02 5.34296807510E+02 5.61884450150E+02 1.70834605030E+00 1.83790360090E+00 1.53000000000E-04
17 1.25100000000E+02 5.61378842640E+02 6.52084235820E+02 6.61599262240E+02 3.66671067270E+00 -5.62080892530E-02 5.58000000000E-04
18 1.25100000000E+02 2.11011831360E+02 4.36540046800E+02 4.47754311110E+02 4.06641629950E+00 1.17141239890E+00 9.87000000000E-05
19 1.25100000000E+02 4.62994459740E+02 6.66191425340E+02 6.91500621560E+02 2.19973601050E+00 1.49283462880E+00 9.26000000000E-05
