mh MH MA MC la2 laL la1 la3 la4 la5 S T U
125.100000 673.402566 706.648669 888.508686 2.428608 1.292731 0.258609 12.396461 -10.345562 -0.758168 -0.013458 0.718711 0.001339
125.100000 607.251117 736.055687 837.747149 2.296611 -0.575237 0.258609 10.432311 -8.148402 -2.859146 -0.011635 0.429786 0.000872
125.100000 192.940141 427.676954 570.854008 3.512921 1.710608 0.258609 11.250181 -7.132248 -2.407325 -0.030322 0.944591 0.005867
125.100000 33.112010 162.230473 308.259462 3.352067 -0.353539 0.258609 2.750682 -2.687432 -0.416788 -0.056332 0.649495 0.021245
125.100000 336.701065 522.270585 664.572536 2.539551 0.975258 0.258609 11.824920 -8.215664 -2.633997 -0.022552 0.840932 0.003326
125.100000 137.766459 194.304460 537.270860 2.305518 0.380332 0.258609 9.293029 -8.602454 -0.310242 -0.062669 2.367743 0.026238
125.100000 276.888012 445.053338 562.527556 2.668670 0.352210 0.258609 8.276405 -5.918023 -2.006172 -0.022863 0.603349 0.003359
125.100000 393.318338 630.625601 683.097761 2.428755 -0.086857 0.258609 10.221928 -6.293495 -4.015291 -0.014544 0.274570 0.000895
125.100000 580.642807 638.074849 817.505688 2.545613 -0.678387 0.258609 10.266469 -9.788246 -1.156611 -0.015623 0.779586 0.001784
125.100000 399.059848 422.205113 606.614465 0.359257 0.408781 0.258609 7.307200 -6.584313 -0.314105 -0.020837 0.700138 0.003192
125.100000 115.712232 561.290786 574.103975 0.038452 0.324402 0.258609 10.774731 -5.465564 -4.984765 -0.021533 0.094564 0.000534
125.100000 491.998887 494.190805 756.636935 2.236731 -0.247877 0.258609 10.672757 -10.884914 -0.035720 -0.022818 1.268843 0.003841
125.100000 121.349303 267.847582 375.216279 2.745858 0.169298 0.258609 4.335522 -3.224049 -0.942175 -0.033204 0.475267 0.007215
125.100000 285.687780 319.583025 538.853843 3.057747 0.720402 0.258609 7.619271 -6.559854 -0.339015 -0.030822 1.006186 0.006884
125.100000 396.787032 434.308049 618.509320 1.308802 0.450566 0.258609 7.890378 -6.924518 -0.515294 -0.021213 0.746606 0.003296
125.100000 112.220029 387.743195 429.223646 2.026043 0.446282 0.258609 6.118818 -3.396255 -2.276281 -0.024301 0.219917 0.002278
125.100000 263.989359 294.548478 596.655152 1.330595 0.768004 0.258609 10.230195 -9.180143 -0.282048 -0.040531 1.801811 0.011704
125.100000 724.880621 799.726855 840.190879 0.530614 1.583593 0.258609 7.547926 -4.078698 -1.885636 -0.005170 0.085902 0.000148
125.100000 275.574559 326.685901 642.472601 1.086785 0.779159 0.258609 11.911081 -10.623258 -0.508664 -0.040347 2.075419 0.011591
125.100000 755.358905 784.032663 846.630763 3.237757 0.921033 0.258609 5.753360 -4.102932 -0.729396 -0.005095 0.105262 0.000180
125.100000 529.348129 589.129336 766.208702 3.117713 1.014770 0.258609 11.156429 -9.036763 -1.104897 -0.016741 0.768738 0.002044
125.100000 80.203594 154.855312 213.685872 2.508505 -0.342122 0.258609 0.954363 -1.006519 -0.289965 -0.031868 0.138658 0.006539
125.100000 755.981689 820.881393 880.525400 0.874281 1.046563 0.258609 7.782522 -5.044871 -1.691089 -0.005878 0.136773 0.000221
125.100000 528.676670 654.422194 714.996707 2.708655 0.473149 0.258609 8.131331 -5.199834 -2.458348 -0.009951 0.206927 0.000556
125.100000 520.573021 527.241194 768.995651 0.121210 0.229510 0.258609 10.817058 -10.472091 -0.115457 -0.020451 1.099089 0.003093
125.100000 163.903054 168.263978 335.337223 2.247277 1.382776 0.258609 4.211345 -2.804632 -0.023937 -0.038151 0.515733 0.010367
125.100000 157.182031 382.893914 437.277291 0.992156 0.691478 0.258609 6.194328 -3.488481 -2.014369 -0.023144 0.264403 0.002525
125.100000 183.894089 333.397770 512.173124 3.145949 0.582426 0.258609 8.134289 -6.273903 -1.277960 -0.035270 1.036989 0.008567
125.100000 60.377329 194.337940 605.461273 1.243661 -0.480307 0.258609 11.514469 -11.430928 -0.563848 -0.079658 3.640876 0.039965
125.100000 244.476225 425.858082 597.162020 0.707215 -0.077836 0.258609 9.732259 -7.800932 -2.009163 -0.029691 1.075347 0.005961
125.100000 287.774683 307.010856 575.125056 4.146536 -0.535839 0.258609 7.658839 -8.005614 -0.189064 -0.035244 1.390646 0.008954
125.100000 622.445586 626.896404 709.934968 2.546801 -0.155334 0.258609 3.697172 -3.760620 -0.091886 -0.006858 0.133813 0.000340
125.100000 463.162590 556.828356 664.131981 2.152192 0.724933 0.258609 8.212266 -5.908606 -1.578727 -0.013976 0.395121 0.001332
125.100000 236.653614 338.043159 451.918571 3.394256 1.161170 0.258609 6.059890 -3.935863 -0.962857 -0.023826 0.443506 0.003877
125.100000 651.645437 766.518787 813.406554 3.733973 -0.241142 0.258609 7.591115 -5.140254 -2.692003 -0.007231 0.139382 0.000272
125.100000 278.667598 296.658976 628.720633 1.987453 -0.459781 0.258609 10.037740 -10.326477 -0.171044 -0.041751 2.081714 0.012394
125.100000 133.541888 161.975179 452.748419 1.986994 0.007396 0.258609 6.192460 -6.046217 -0.138848 -0.060325 1.616618 0.024495
125.100000 457.159953 466.147401 621.909664 2.690392 1.639755 0.258609 7.515107 -5.738229 -0.137124 -0.015928 0.470962 0.001872
125.100000 522.759039 579.924108 763.742797 2.540701 1.844240 0.258609 12.090325 -9.204461 -1.041625 -0.017330 0.811652 0.002195
125.100000 179.112389 561.095533 575.409427 1.184861 0.869294 0.258609 10.751466 -5.209904 -4.672268 -0.019420 0.095853 0.000505
125.100000 300.261946 412.183131 438.179521 2.721993 1.377237 0.258609 4.743092 -2.048226 -1.317630 -0.010802 0.065434 0.000469
125.100000 98.242783 123.453522 511.439003 2.877113 0.118422 0.258609 8.444095 -8.233315 -0.092358 -0.082817 2.689361 0.042611
125.100000 76.823582 397.504282 635.279207 3.092420 -0.791179 0.258609 12.351719 -10.629384 -2.513514 -0.045583 2.141883 0.013886
125.100000 227.297192 355.081279 651.108639 2.401928 -0.195004 0.258609 12.108467 -11.073736 -1.229736 -0.042200 2.220170 0.012496
125.100000 856.595862 907.588813 993.410998 1.092340 -0.359769 0.258609 8.005256 -6.878460 -1.486565 -0.006327 0.216236 0.000280
125.100000 812.370571 906.133393 961.392920 3.834439 -0.298298 0.258609 8.437587 -6.073254 -2.662631 -0.005949 0.151557 0.000207
125.100000 121.338154 473.186302 608.624888 3.624287 -0.026509 0.258609 11.729103 -8.298967 -3.456645 -0.032818 1.090743 0.006376
125.100000 428.508081 430.861809 612.182718 0.159915 1.950447 0.258609 8.267735 -6.283864 -0.033425 -0.018917 0.610144 0.002641
125.100000 217.939019 323.694694 585.636166 1.348920 1.046258 0.258609 10.811355 -8.818557 -0.946540 -0.040629 1.711782 0.011628
125.100000 346.326096 440.775667 536.265641 0.502636 1.303867 0.258609 6.844189 -4.311863 -1.228459 -0.016352 0.331320 0.001793
125.100000 71.915682 333.953581 440.108565 3.251400 -0.444728 0.258609 5.785812 -4.473102 -1.757438 -0.035125 0.635599 0.007453
125.100000 198.374978 317.133170 393.941648 1.305814 1.443891 0.258609 5.272214 -2.816676 -1.011647 -0.022034 0.270355 0.003041
125.100000 552.141366 738.870366 802.837104 4.042429 -0.995238 0.258609 10.231126 -7.242801 -3.983564 -0.011302 0.292962 0.000645
125.100000 81.155677 289.230264 556.685285 2.400361 -0.338748 0.258609 9.685452 -8.750688 -1.273513 -0.054072 2.102833 0.019779
125.100000 23.754470 539.060289 569.491365 3.009779 -0.693836 0.258609 10.006016 -5.907373 -4.792480 -0.025127 0.240884 0.001501
125.100000 518.832357 591.886629 640.479362 1.487309 1.886903 0.258609 6.547713 -3.319962 -1.340848 -0.007584 0.108702 0.000343
125.100000 192.195147 401.773303 595.801998 1.251474 1.049381 0.258609 11.560354 -8.453951 -2.057023 -0.035230 1.369199 0.008390
125.100000 46.502625 249.901914 514.339797 1.108811 -0.441162 0.258609 8.230360 -7.675282 -0.996240 -0.059637 1.985110 0.023801
125.100000 82.393247 344.880382 573.395696 0.730656 -0.333886 0.258609 10.307729 -8.788322 -1.853292 -0.046972 1.839029 0.014858
125.100000 795.378688 854.962765 881.857419 0.487940 0.061236 0.258609 4.854852 -3.168690 -1.624927 -0.003545 0.042846 0.000062
125.100000 231.666782 379.883896 396.808817 0.108650 0.142525 0.258609 3.572618 -1.932269 -1.497823 -0.013169 0.050416 0.000466
125.100000 422.494122 655.966683 717.663222 0.324317 1.193436 0.258609 12.315758 -6.961587 -4.160734 -0.014509 0.329559 0.000971
125.100000 616.767849 724.798531 859.164312 3.999487 -0.516496 0.258609 11.307179 -9.428765 -2.394909 -0.013086 0.597361 0.001184
125.100000 142.096349 210.802718 268.011563 0.599158 1.035441 0.258609 2.742058 -1.305956 -0.400661 -0.022379 0.130241 0.003209
125.100000 196.503077 540.555891 583.785698 2.717592 1.725505 0.258609 11.712692 -5.796770 -4.190416 -0.021159 0.287036 0.001496
125.100000 422.038081 612.641627 652.671319 0.962504 0.504495 0.258609 8.696170 -4.932808 -3.258867 -0.011886 0.167922 0.000565
125.100000 75.250494 330.996884 527.555869 2.379932 0.629862 0.258609 9.640786 -7.294084 -1.716840 -0.044989 1.452237 0.013530
125.100000 513.035820 620.103384 670.386975 2.713309 1.704134 0.258609 7.858306 -4.149373 -2.004800 -0.008868 0.145227 0.000433
125.100000 641.101105 668.483082 855.875084 1.641215 -0.628566 0.258609 9.997104 -10.033116 -0.592554 -0.014261 0.739179 0.001506
125.100000 74.492867 458.186701 481.669817 1.736719 -0.255493 0.258609 7.228697 -4.106805 -3.377386 -0.023771 0.150533 0.001265
125.100000 162.588928 472.605257 545.842244 1.290187 0.108083 0.258609 9.081201 -5.719093 -3.254025 -0.025225 0.478198 0.003054
125.100000 96.823503 166.963717 339.330135 2.312298 1.003997 0.258609 4.499607 -3.189871 -0.305739 -0.050345 0.729561 0.017410
125.100000 560.620863 648.277511 762.567910 2.047645 0.995335 0.258609 9.826522 -7.080114 -1.751074 -0.012316 0.423629 0.001050
125.100000 503.949809 508.118700 679.576949 1.106408 -0.014236 0.258609 6.855333 -6.799849 -0.069720 -0.015744 0.552711 0.001834
125.100000 117.205001 120.348965 617.954920 2.434496 -0.552905 0.258609 11.613506 -12.154070 -0.012342 -0.089139 4.138433 0.048157
125.100000 455.057478 510.613272 557.175274 0.579573 0.736335 0.258609 4.152522 -2.529667 -0.886519 -0.007661 0.087466 0.000363
125.100000 43.688624 93.956711 126.872820 3.362283 -0.394721 0.258609 0.074180 -0.354565 -0.114336 -0.035842 0.047917 0.007761
125.100000 212.627323 292.681566 387.924209 2.311834 0.606318 0.258609 4.085557 -2.810786 -0.668453 -0.022739 0.302853 0.003531
125.100000 286.413715 369.266185 595.255145 2.059727 -0.360317 0.258609 8.638819 -8.101445 -0.897692 -0.031614 1.259625 0.007163
125.100000 251.238517 251.893281 590.259075 0.506919 0.663036 0.258609 10.091451 -9.422971 -0.005444 -0.045616 2.044491 0.014651
125.100000 92.869884 185.279482 567.084261 0.110410 -0.057262 0.258609 10.285779 -9.918300 -0.424742 -0.073963 3.033948 0.035151
125.100000 359.895087 475.108500 618.649675 1.762632 1.184795 0.258609 9.552927 -6.778410 -1.589722 -0.020704 0.675770 0.002969
125.100000 470.820987 550.106875 733.761875 0.397227 1.390969 0.258609 11.858749 -9.130197 -1.337583 -0.019252 0.882868 0.002678
125.100000 427.761140 528.995059 758.000893 3.586422 -0.614438 0.258609 12.327123 -11.341056 -1.600505 -0.024349 1.375476 0.004269
125.100000 114.683464 150.874727 473.698081 3.868499 -0.930297 0.258609 6.050917 -6.822398 -0.158816 -0.068495 1.989166 0.030727
