MA,MC,MH,la2,la3,la4,la5,laL,m22Squared,
235.058,290.77,212.149,1.02578,1.82651,-1.13748,-0.169298,0.519737,-58561.5,
205.427,212.891,154.842,1.24661,0.506317,-0.404339,-0.30115,-0.199172,-60004.9,
288.168,294.616,219.941,0.883311,3.11791,-0.697045,-0.572852,1.84802,15086.3,
814.793,846.077,792.538,0.620743,3.03783,-2.30827,-0.591106,0.138453,-1.24785e+06,
188.759,205.373,87.9804,1.92984,0.903334,-0.677271,-0.460859,-0.234796,-29690,
599.337,619.846,410.872,3.89435,7.56251,-3.97244,-3.14609,0.443977,-310764,
695.712,771.486,686.356,3.28714,5.88454,-3.88795,-0.213684,1.78291,-834274,
420.453,426.048,240.043,2.14458,5.81431,-2.12562,-1.96907,1.71963,-11175.7,
738.988,769.534,634.069,3.04381,8.16819,-3.9034,-2.38054,1.88425,-690058,
773.373,816.764,765.684,3.04325,4.50563,-2.47586,-0.195529,1.83424,-1.06154e+06,
913.573,924.644,796.53,3.04383,8.21384,-3.98006,-3.30747,0.926308,-1.21286e+06,
507.387,565.76,493.566,2.79273,3.53951,-2.29889,-0.228612,1.01201,-425971,
591.194,605.198,150.3,1.1685,11.4344,-5.95591,-5.40221,0.076248,-40566.2,
215.395,222.241,110.568,2.14103,1.21961,-0.66366,-0.564638,-0.00868339,-24976,
923.639,927.53,778.322,2.81501,9.39074,-4.32498,-4.08691,0.97886,-1.15233e+06,
690.269,726.762,679.166,2.34056,2.07367,-1.9603,-0.251245,-0.137873,-930877,
248.721,269.617,79.4659,3.60769,1.89865,-1.27585,-0.917894,-0.295092,-30487.4,
750.717,755.817,729.081,0.516134,0.966587,-0.783021,-0.529058,-0.345491,-1.08403e+06,
729.194,730.7,607.991,2.77776,4.73631,-2.75084,-2.67814,-0.692669,-781223,
819.025,854.41,717.588,2.83724,7.18106,-4.53268,-2.57569,0.0727018,-1.02546e+06,
303.336,309.929,179.705,4.08524,3.59197,-1.12045,-0.986824,1.4847,25259.9,
592.562,607.947,467.547,2.56325,4.31573,-2.80042,-2.18998,-0.674677,-478030,
570.534,579.146,532.5,0.229255,2.61227,-1.02047,-0.693258,0.898544,-512736,
245.142,263.682,233.238,2.34085,0.759964,-0.405876,-0.0941023,0.259986,-93066.7,
584.459,636.765,567.633,1.2038,3.64821,-2.43141,-0.320333,0.896463,-590164,
888.82,889.691,882.64,3.9244,0.70305,-0.232099,-0.180922,0.29003,-1.54055e+06,
737.26,738.257,537.907,4.04621,10.4233,-4.24929,-4.2007,1.97328,-459272,
549.696,559.11,410.333,0.153612,4.96523,-2.55584,-2.21087,0.198521,-324733,
257.191,278.354,194.675,2.02474,1.7394,-0.841377,-0.466797,0.431228,-49700.8,
940.636,951.497,905.643,1.94318,3.11745,-1.74679,-1.06758,0.303077,-1.62204e+06,
855.252,904.677,845.503,0.611864,4.16304,-3.14874,-0.27399,0.740308,-1.38495e+06,
931.978,953.944,820.02,1.79911,8.3039,-4.6104,-3.24127,0.452233,-1.3175e+06,
514.016,559.321,460.769,1.35495,4.44478,-2.46481,-0.857694,1.12228,-356700,
408.143,465.71,371.45,1.80197,4.08711,-2.13523,-0.472693,1.47918,-186436,
664.031,699.621,607.058,1.28299,3.4314,-2.80063,-1.19667,-0.565905,-771284,
395.334,399.63,66.9867,1.98182,5.29568,-2.62131,-2.50846,0.165909,1065.69,
443.11,503.862,429.316,0.274322,3.64421,-2.1002,-0.198858,1.34516,-287221,
412.326,417.989,224.459,4.0704,5.22011,-2.13225,-1.97684,1.11101,-33529.8,
395.108,420.379,228.235,2.73458,4.6673,-2.39995,-1.71888,0.548471,-70990.7,
825.372,847.091,812.028,0.828366,2.70317,-1.56155,-0.361041,0.780582,-1.27154e+06,
680.146,683.228,301.005,1.25336,13.619,-6.2859,-6.14705,1.18607,-109432,
534.649,535.291,527.039,1.77533,0.23349,-0.156214,-0.133504,-0.0562277,-558944,
783.724,815.51,713.948,3.73213,4.18809,-3.40686,-1.72686,-0.945628,-1.07667e+06,
298.259,316.626,17.0594,1.47402,3.91322,-1.83844,-1.46518,0.609593,36308.1,
518.209,519.609,325.35,1.66966,5.23377,-2.73634,-2.68835,-0.190915,-223259,
924.546,961.827,871.025,0.0547583,6.13739,-3.91227,-1.58802,0.637099,-1.47881e+06,
634.341,644.536,536.198,2.90338,5.54995,-2.32924,-1.89833,1.32239,-494992,
434.853,436.273,382.753,2.97998,2.40237,-0.744791,-0.703894,0.953686,-235287,
675.597,698.974,469.025,1.07715,10.6551,-4.96913,-3.90718,1.7788,-332323,
638.917,659.548,536.003,3.49787,6.10948,-2.88345,-1.99807,1.22796,-500287,
581.834,594.879,318.672,1.4424,8.0527,-4.42328,-3.91597,-0.286561,-220445,
859.626,873.035,825.908,1.85471,2.19385,-1.70697,-0.939135,-0.452259,-1.39162e+06,
675.995,684.822,256.703,1.19264,13.6484,-6.8593,-6.46231,0.326822,-112015,
271.432,271.719,216.912,0.967539,2.35389,-0.445101,-0.439952,1.46884,-5213.92,
421.24,443.994,316.388,1.74238,3.35857,-1.9287,-1.27805,0.151825,-191015,
347.696,359.083,184.491,0.627261,4.09417,-1.70125,-1.43525,0.95767,-10119.2,
165.053,175.671,123.949,0.861555,1.09386,-0.315853,-0.196298,0.58171,4475.87,
764.743,776.8,496.194,0.420893,13.0573,-6.20985,-5.59561,1.25182,-416662,
874.53,921.056,836.486,2.53052,4.5319,-3.83665,-1.07564,-0.380384,-1.42244e+06,
